Data,R0
2020-02-28,5.56
2020-02-29,5.31
2020-03-01,5.87
2020-03-02,5.16
2020-03-03,4.69
2020-03-04,4.48
2020-03-05,3.53
2020-03-06,3.69
2020-03-07,3.75
2020-03-08,3.92
2020-03-09,4.1
2020-03-10,3.98
2020-03-11,3.62
2020-03-12,3.4
2020-03-13,3.14
2020-03-14,3.62
2020-03-15,3.35
2020-03-16,3.1
2020-03-17,3.01
2020-03-18,2.74
2020-03-19,2.62
2020-03-20,2.7
2020-03-21,2.7
2020-03-22,2.78
2020-03-23,2.53
2020-03-24,2.3
2020-03-25,2.09
2020-03-26,1.99
2020-03-27,1.96
2020-03-28,1.93
2020-03-29,1.9
2020-03-30,1.76
2020-03-31,1.6
2020-04-01,1.5
2020-04-02,1.41
2020-04-03,1.43
2020-04-04,1.45
2020-04-05,1.43
2020-04-06,1.41
2020-04-07,1.39
2020-04-08,1.31
2020-04-09,1.21
2020-04-10,1.17
2020-04-11,1.22
2020-04-12,1.24
2020-04-13,1.24
2020-04-14,1.24
2020-04-15,1.18
2020-04-16,1.14
2020-04-17,1.12
2020-04-18,1.12
2020-04-19,1.1
2020-04-20,1.07
2020-04-21,1.05
2020-04-22,1.0
2020-04-23,0.97
2020-04-24,0.94
2020-04-25,0.94
2020-04-26,0.94
2020-04-27,0.97
2020-04-28,0.96
2020-04-29,0.97
2020-04-30,0.9
2020-05-01,0.85
2020-05-02,0.82
2020-05-03,0.82
2020-05-04,0.94
2020-05-05,0.94
2020-05-06,0.78
2020-05-07,0.65
2020-05-08,0.52
2020-05-09,0.44
2020-05-10,0.67
2020-05-11,0.68
2020-05-12,0.69
2020-05-13,0.76
2020-05-14,0.73
2020-05-15,0.59
2020-05-16,0.48
2020-05-17,0.49
2020-05-18,0.48
2020-05-19,0.64
